# SD ALGORITHM — CV (SD/mean) PER TIMEPOINT,thr_all=0.04,thr_two=0.08
group,concentration_cfu_ml,time_min,cv_R,cv_G,cv_B,cv_RG,cv_RB,cv_GB,sd_flag,meets_thr_all,meets_thr_two
0 (Sterile Negative Control),0.0,100,0.006198,0.020456,0.001007,0.012746,0.026838,0.014615,0,False,False
0 (Sterile Negative Control),0.0,105,0.060273,0.092244,0.042146,0.032664,0.024071,0.023992,0,False,False
0 (Sterile Negative Control),0.0,110,0.080901,0.124706,0.056424,0.041238,0.021129,0.029376,0,False,False
0 (Sterile Negative Control),0.0,115,0.093618,0.145942,0.064959,0.045801,0.01882,0.03307,0,False,False
0 (Sterile Negative Control),0.0,120,0.100383,0.15812,0.069421,0.046701,0.01655,0.034815,0,False,False

# SD ALGORITHM — PER-GROUP SUMMARY (final timepoint CVs)
group,concentration_cfu_ml,final_cv_RG,final_cv_RB,final_cv_GB,sd_event_count,detected,first_detection_min
10^1 ,10.0,0.077553,0.015913,0.087296,0,False,
10^2,100.0,0.115941,0.011477,0.111864,3,True,110
10^3,1000.0,0.04304,0.009605,0.038277,0,False,
10^4,10000.0,0.061118,0.030227,0.031921,0,False,
10^5,100000.0,0.06088,0.061828,0.00666,3,True,25
10^6,1000000.0,0.283575,0.463846,0.701299,0,False,
10^7,10000000.0,0.133328,0.071162,0.064646,4,True,105
10^8 (Positive Control),100000000.0,0.139381,0.109393,0.03607,9,True,80
0 (Sterile Negative Control),0.0,0.046701,0.01655,0.034815,5,True,25
